timestamp,kwh
2025-01-01 08:00,18
2025-01-01 12:00,25
2025-01-01 18:00,22
2025-01-02 08:00,20
2025-01-02 12:00,27
2025-01-02 18:00,23
2025-01-03 08:00,17
2025-01-03 12:00,24
2025-01-03 18:00,21
2025-02-01 08:00,19
2025-02-01 12:00,26
2025-02-01 18:00,23
2025-02-02 08:00,21
2025-02-02 12:00,28
2025-02-02 18:00,24
2025-02-03 08:00,18
2025-02-03 12:00,25
2025-02-03 18:00,22
2025-03-01 08:00,20
2025-03-01 12:00,27
2025-03-01 18:00,24
2025-03-02 08:00,22
2025-03-02 12:00,29
2025-03-02 18:00,25
2025-03-03 08:00,19
2025-03-03 12:00,26
2025-03-03 18:00,23
