timestamp,kwh
2025-01-01 06:00,40
2025-01-01 12:00,55
2025-01-01 20:00,60
2025-01-02 06:00,42
2025-01-02 12:00,58
2025-01-02 20:00,62
2025-01-03 06:00,39
2025-01-03 12:00,54
2025-01-03 20:00,59
2025-02-01 06:00,43
2025-02-01 12:00,57
2025-02-01 20:00,61
2025-02-02 06:00,45
2025-02-02 12:00,59
2025-02-02 20:00,63
2025-02-03 06:00,42
2025-02-03 12:00,55
2025-02-03 20:00,60
2025-03-01 06:00,46
2025-03-01 12:00,60
2025-03-01 20:00,64
2025-03-02 06:00,48
2025-03-02 12:00,62
2025-03-02 20:00,66
2025-03-03 06:00,45
2025-03-03 12:00,58
2025-03-03 20:00,63
