timestamp,kwh
2025-01-01 08:00,10
2025-01-01 12:00,18
2025-01-01 18:00,15
2025-01-02 08:00,12
2025-01-02 12:00,20
2025-01-02 18:00,16
2025-01-03 08:00,9
2025-01-03 12:00,17
2025-01-03 18:00,14
2025-02-01 08:00,11
2025-02-01 12:00,19
2025-02-01 18:00,16
2025-02-02 08:00,13
2025-02-02 12:00,21
2025-02-02 18:00,17
2025-02-03 08:00,10
2025-02-03 12:00,18
2025-02-03 18:00,15
2025-03-01 08:00,12
2025-03-01 12:00,20
2025-03-01 18:00,17
2025-03-02 08:00,14
2025-03-02 12:00,22
2025-03-02 18:00,18
2025-03-03 08:00,11
2025-03-03 12:00,19
2025-03-03 18:00,16
